Ausgabenbereich,Zahlungsgrund/Gegenstand/Maßnahme,Zahlungsempfänger*in,Belegart,Zahlungsdatum,Belegnummer,Summe,Shop,Bestelldatum,Rechnungsdatum,Rechnungsnummer,Buchungstag,Kontoauszug,Betrag,Zahlungsreferenz,Link
Investive Maßnahme,Allgemein: Geldtasche,Marcus Eikamp,Rechnung + Kontoauszug,13.05.2025,1,"4,80 €",Amazon,12.05.2025,12.05.2025,20251388302,13.05.2025,2025-3 S. 11,"4,80 €",CUO8Y72QZEOAM1FT,https://www.amazon.de/dp/B0189D1L84
Investive Maßnahme,Allgemein: Namesschilder,STANILA FOYA SHOP S.R.L.,Rechnung + Kontoauszug,11.04.2025,2,"25,63 €",Amazon,09.04.2025,10.04.2025,DE-30481784533144329-2025-1744279859,11.04.2025,2025-3 S. 3,"41,69 €",5IBEMG4AODUAOBMW,https://www.amazon.de/dp/B0D831KJQT
Investive Maßnahme,Allgemein: Flyer,0,Rechnung + Kontoauszug,30.12.1899,3,"0,00 €",,,,,,,,,
Investive Maßnahme,Allgemein: Sticker,0,Rechnung + Kontoauszug,30.12.1899,4,"0,00 €",,,,,,,,,
Investive Maßnahme,Allgemein: Handy,BRIDGE NINE OY,Rechnung + Kontoauszug,09.04.2025,5,"181,99 €",Refurbed,07.04.2025,07.04.2025,20471 SHIPPYPRO,09.04.2025,2025-3 S. 1,"181,99 €",1041404876659,https://www.refurbed.de/p/google-pixel-6/21493b/
Investive Maßnahme,Allgemein: Beschriftungsgerät,Proshop a/s,Rechnung + Kontoauszug,09.04.2025,6,"81,84 €",Proshop,08.04.2025,08.04.2025,20467889,09.04.2025,2025-3 S. 1,"81,84 €",1041407159016,https://www.proshop.de/Label-printer/Brother-P-Touch-Cube-Plus-PT-P710BT-Label-Printer/2808640
Investive Maßnahme,Kleben: 2K-Kleber,Adam Bober,Rechnung + Kontoauszug,09.04.2025,7,"15,50 €",Amazon,07.04.2025,09.04.2025,PL5002PCKM3U1U,09.04.2025,2025-3 S. 3,"15,50 €",57YOZQ3SEUYWLG3W,https://www.amazon.de/dp/B000KJP0QK
Investive Maßnahme,Kleben: Heißklebepistole,Amazon Business EU SARL,Rechnung + Kontoauszug,09.04.2025,8,"29,64 €",Amazon,07.04.2025,08.04.2025,DE51WGZTABEI,09.04.2025,2025-3 S. 2,"29,64 €",4RC4LQR2ULATKFZI,https://www.amazon.de/dp/B0BZPWWVH6
Investive Maßnahme,Kleben: Heißklebesticks,MIRROR COARE MARIN S.R.L.,Rechnung + Kontoauszug,11.04.2025,9,"6,07 €",Amazon,09.04.2025,10.04.2025,INV2504100886,11.04.2025,2025-3 S. 5,"41,69 €",5IBEMG4AODUAOBMW,https://www.amazon.de/dp/B0BXSMN2DS
Investive Maßnahme,Messen: IR Thermometer,Amazon Business EU SARL,Rechnung + Kontoauszug,09.04.2025,10,"21,99 €",Amazon,07.04.2025,08.04.2025,DE51WH1VABEI,09.04.2025,2025-3 S. 2,"46,17 €",YET6N2GI7BJZ6PY8,https://www.amazon.de/dp/B0CW1ZM991
Investive Maßnahme,Messen: Maßband,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,11,"7,04 €",Amazon,07.04.2025,09.04.2025,DE51XZQ6ABEI,11.04.2025,2025-3 S. 3,"7,04 €",1SMLMWD4PWBVOTE8,https://www.amazon.de/dp/B0009VX1ZQ
Investive Maßnahme,Elektr(on)ik: Dritter Hand mit Lupe und Licht,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,12,"35,14 €",Amazon,07.04.2025,10.04.2025,DE51Y47SABEI,11.04.2025,2025-3 S. 4,"130,77 €",1872HQLUNFRWYLTT,https://www.amazon.de/dp/B09Q5LYGPM
Investive Maßnahme,Elektr(on)ik: Elektronik Seitenschenider,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,13,"15,01 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/elektronik-seitenschneider-super-knips-rostfrei/4243316051
Investive Maßnahme,Elektr(on)ik: Kontaktreiniger,RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,14,"10,89 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/48350/Kontakt-Chemie-KONTAKT-60-PLUS-73909-AA-Kontaktreiniger-200ml.html?offer=874c23749abb64bd67017b901bc22d79
Investive Maßnahme,Elektr(on)ik: Leiterplattenreiniger,RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,15,"8,20 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/18737/Kontakt-Chemie-KONTAKT-LR-84009-AA-Leiterplattenreiniger-200ml.html?offer=f4074fd08918bc5ddf810380470d9846
Investive Maßnahme,Elektr(on)ik: Isolier- und Schutzlack,RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,16,"9,06 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/76842/Kontakt-Chemie-PLASTIK-70-74309-AH-Isolier-und-Schutzlack-200ml.html?offer=15697ab97026d11addf85a8570821608
Investive Maßnahme,Elektr(on)ik: Verdrahtungszange,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,17,"55,69 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/knipex-verdrahtungszange-poliert-mit-2-komponenten-griffen-mm/4243322256
Investive Maßnahme,"Elektr(on)ik: Abisolierzange, automatisch",FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,18,"28,17 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/knipex-automatik-abisolierzange-180mm-qmm/4243322070
Investive Maßnahme,Elektr(on)ik: Aderendhülsenzange,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,19,"116,11 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/crimpzange-fuer-aderendhuelsen/4243322350
Investive Maßnahme,Elektr(on)ik: Aderendhülsen,RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,20,"18,06 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/1069210/Knipex-97-99-906-Aderendhuelsen-Sortiment-0.5-mm-0.75-mm-1-mm-1.5-mm-2.5mm-Teilisoliert-Weiss-Grau-Rot-Schwarz-Blau.html?ref=19&offer=58a51d5db256b9a8847d626b623ff43f&utm_source=idealo&utm_medium=CPC&utm_campaign=X839381&utm_content=intern&context=ve
Investive Maßnahme,"Elektr(on)ik: Aderendhülsen, unisoliert",RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,21,"32,27 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/1068933/Knipex-97-99-910-Aderendhuelsen-Sortiment-0.5-mm-0.75-mm-1-mm-1.5-mm-2.5mm-Unisoliert-1900St..html?ref=19&offer=98c6eecff97f58a0b8398f36ecef84a7&utm_source=idealo&utm_medium=CPC&utm_campaign=X839731&utm_content=intern&context=ve&scroll_pos=undefined
Investive Maßnahme,"Elektr(on)ik: Aderendhülsen, Twin",RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,22,"18,14 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/1068931/Knipex-97-99-908-Aderendhuelsen-Sortiment-0.75-mm-1-mm-1.5-mm-2.5mm-Teilisoliert-Grau-Rot-Schwarz-Blau-200St..html?ref=19&offer=783f106c0e3e93eb7655a5fd0e4921ed&utm_source=idealo&utm_medium=CPC&utm_campaign=X839721&utm_content=intern&context=ve&scroll_pos=undefined
Investive Maßnahme,Elektr(on)ik: Seitenscheider,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,23,"22,31 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/vde-seitenschneider-aus-vanadium-elektrostahl-kopf-verchromt-griffe-mit-mehrkomponenten-kunststoffhuellen/4243308073
Investive Maßnahme,Elektr(on)ik: Entmanteler,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,24,"29,50 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/knipex-abmantelungswerkzeug-ergostrip/4243322195
Investive Maßnahme,Elektr(on)ik: Abisolierzange,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,25,"16,33 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/knipex-abisolierzange-poliert-mit-mehrkomponenten-griffen-160mm-qmm/4243322030
Investive Maßnahme,Elektr(on)ik: Crimpzange,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,26,"75,73 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/crimpzange-fuer-kabelschuhe-und-steckverbinder-preciforce/4243322366
Investive Maßnahme,Elektr(on)ik: Kabelschuhe,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,27,"7,49 €",Amazon,07.04.2025,09.04.2025,DE51XZQZABEI,11.04.2025,2025-3 S. 5,"211,39 €",7F1M4O3ZRA598IHH,https://www.amazon.de/dp/B093YQN69X
Investive Maßnahme,Elektr(on)ik: WAGO Klemmen 2 Leiter,Amazon Business EU SARL,Rechnung + Kontoauszug,23.04.2025,28,"20,38 €",Amazon,07.04.2025,18.04.2025,DE523E99ABEI,23.04.2025,2025-3 S. 6,"20,38 €",14CGCTPENX90FTCQ,https://www.amazon.de/dp/B08X6CPFNR
Investive Maßnahme,Elektr(on)ik: WAGO Klemmen 3 Leiter,Voltking GmbH,Rechnung + Kontoauszug,09.04.2025,29,"19,96 €",Amazon,07.04.2025,08.04.2025,4135978,09.04.2025,2025-3 S. 2,"19,96 €",6JWRGY5ZEEFKFZ9K,https://www.amazon.de/dp/B00JB3U9CG
Investive Maßnahme,Elektr(on)ik: WAGO Klemmen 5 Leiter,Amazon Business EU SARL,Rechnung + Kontoauszug,09.04.2025,30,"24,18 €",Amazon,07.04.2025,08.04.2025,DE51WH1VABEI,09.04.2025,2025-3 S. 2,"46,17 €",YET6N2GI7BJZ6PY8,https://www.amazon.de/dp/B0107SYYGU
Investive Maßnahme,Elektr(on)ik: Lüsterklemmen,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,31,"4,54 €",Amazon,07.04.2025,09.04.2025,DE51XZRVABEI,11.04.2025,2025-3 S. 4,"16,23 €",5WELJD3WTRC2ZDTL,https://www.amazon.de/dp/B01N0X5IVW
Investive Maßnahme,Elektr(on)ik: Duspol Spannungsprüfer,RE-INvent Retail GmbH,Rechnung + Kontoauszug,11.04.2025,32,"83,94 €",voelkner,10.04.2025,10.04.2025,9136173682,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/422664/Benning-DUSPOL-digital-Zweipoliger-Spannungspruefer-CAT-III-1000-V-CAT-IV-600V-LCD-Vibration-Akustik.html?ref=19&offer=ca728f4ce739838ee6ca4c8f40e0b9b7&utm_source=idealo&utm_medium=CPC&utm_campaign=Q72475&utm_content=intern&context=ve
Investive Maßnahme,Elektr(on)ik: Berührungsloser Spannungsprüfer,PeakTech GmbH,Rechnung + Kontoauszug,11.04.2025,33,"32,24 €",voelkner,10.04.2025,11.04.2025,1/178553,11.04.2025,2025-3 S. 4,"250,61 €",1041450408483,https://www.voelkner.de/products/4879303/Kontaktfreier-AC-Spannungspruefer.html?offer=534d6d4ff1c30dbc04ab914a13df4134&utm_source=idealo&utm_medium=CPC&utm_campaign=V94347706-4879303-13984&utm_content=extern
Investive Maßnahme,Elektr(on)ik: Multimeter,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,34,"95,08 €",Amazon,09.04.2025,10.04.2025,DE51YF39ABEI,11.04.2025,2025-3 S. 5,"102,64 €",4M2M9V6NRQ6DOBMH,https://www.amazon.de/dp/B00664VE90
Investive Maßnahme,Elektr(on)ik: Oszilloskop Multimeter,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,35,"69,59 €",Amazon,07.04.2025,09.04.2025,DE51XS7SABEI,11.04.2025,2025-3 S. 4,"101,10 €",3XI7YJIKOYNQPRJT,https://www.amazon.de/dp/B08DHHHMXJ
Investive Maßnahme,Elektr(on)ik: Messleitungen,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,36,"43,99 €",Amazon,09.04.2025,10.04.2025,DE51YF1RABEI,11.04.2025,2025-3 S. 5,"65,38 €",1PT0TE4LAKYYF85X,https://www.amazon.de/dp/B018D1WE8I
Investive Maßnahme,Elektr(on)ik: Multifunktionstester,Amazon Business EU SARL,Rechnung + Kontoauszug,15.04.2025,37,"18,99 €",Amazon,11.04.2025,12.04.2025,DE51ZNUMABEI,15.04.2025,2025-3 S. 6,"42,12 €",2D65NLXDLKWTIQJJ,https://www.amazon.de/dp/B09CFVNVKQ
Investive Maßnahme,Elektr(on)ik: Kabelbinder,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,38,"9,98 €",Amazon,07.04.2025,09.04.2025,DE51XS7SABEI,11.04.2025,2025-3 S. 4,"101,10 €",3XI7YJIKOYNQPRJT,https://www.amazon.de/dp/B0B3GPVQY8
Investive Maßnahme,Elektr(on)ik: Feinsicherungen,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,39,"9,98 €",Amazon,07.04.2025,09.04.2025,DE51XZQZABEI,11.04.2025,2025-3 S. 5,"211,39 €",7F1M4O3ZRA598IHH,https://www.amazon.de/dp/B08Y8K2LVL
Investive Maßnahme,Elektr(on)ik: Thermosicherungen,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,40,"12,99 €",Amazon,07.04.2025,09.04.2025,DE51XS7SABEI,11.04.2025,2025-3 S. 4,"101,10 €",3XI7YJIKOYNQPRJT,https://www.amazon.de/dp/B0BNHV14GC
Investive Maßnahme,Elektr(on)ik: Quetschverbinder,Alfred Striegel GmbH & Co. KG,Rechnung + Kontoauszug,09.04.2025,41,"27,66 €",eBay,07.04.2025,07.04.2025,2025108140,09.04.2025,2025-3 S. 1,"27,66 €",1041407315188,https://www.ebay.de/itm/326046803442
Investive Maßnahme,Elektr(on)ik: Thermoschalter,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,42,"15,67 €",Amazon,07.04.2025,09.04.2025,DE51XZQZABEI,11.04.2025,2025-3 S. 5,"211,39 €",7F1M4O3ZRA598IHH,https://www.amazon.de/dp/B087DZXJTH
Investive Maßnahme,Elektr(on)ik: Konturenstecker,PLASTROL Sp. z o. o.,Rechnung + Kontoauszug,16.04.2025,43,"16,45 €",Amazon,07.04.2025,15.04.2025,DE5001NVQ87S9I,16.04.2025,2025-3 S. 6,"128,54 €",3EHEEUTMX5B47GWP,https://www.amazon.de/dp/B0CWPJ8V1F
Investive Maßnahme,Elektr(on)ik: Staubsaugerzuleitung,Andrea Beuthan 846877623,Rechnung + Kontoauszug,09.04.2025,44,"41,25 €",eBay,07.04.2025,07.04.2025,202504-142890,09.04.2025,2025-3 S. 1,"41,25 €",1041407311312,https://www.ebay.de/itm/231866824324
Investive Maßnahme,Elektr(on)ik: Isolierband,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,45,"7,70 €",Amazon,07.04.2025,09.04.2025,DE51XZSEABEI,11.04.2025,2025-3 S. 4,"14,30 €",W3UKR0SOZZW4GZ0U,https://www.amazon.de/dp/B00FYJ2AJQ
Investive Maßnahme,Elektr(on)ik: Jumper-Kabel,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,46,"6,59 €",Amazon,07.04.2025,09.04.2025,DE51XZQZABEI,11.04.2025,2025-3 S. 5,"211,39 €",7F1M4O3ZRA598IHH,https://www.amazon.de/dp/B01EV70C78
Investive Maßnahme,"Elektr(on)ik: Prüfleitungen mit Krokodilklemmen, fein","Shenzhen Lianmaida Dianzi co.,ltd",Rechnung + Kontoauszug,16.04.2025,47,"4,84 €",Amazon,07.04.2025,15.04.2025,DS-AEU-INV-DE-2025-176614013,16.04.2025,2025-3 S. 6,"128,54 €",3EHEEUTMX5B47GWP,https://www.amazon.de/dp/B0BJJPJTM5
Investive Maßnahme,"Elektr(on)ik: Prüfleitungen mit Krokodilklemmen, grob",Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,48,"8,54 €",Amazon,07.04.2025,09.04.2025,DE51XS7SABEI,11.04.2025,2025-3 S. 4,"101,10 €",3XI7YJIKOYNQPRJT,https://www.amazon.de/dp/B08C9M4Z3C
Investive Maßnahme,Elektr(on)ik: Bananenstecker zu Krokodilklemmen,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,49,"8,45 €",Amazon,07.04.2025,09.04.2025,DE51XZQZABEI,11.04.2025,2025-3 S. 5,"211,39 €",7F1M4O3ZRA598IHH,https://www.amazon.de/dp/B0C3B34BKQ
Investive Maßnahme,Elektr(on)ik: Schrumpfschlauch,DELEO STANDARD S.R.L.,Rechnung + Kontoauszug,15.04.2025,50,"6,64 €",Amazon,07.04.2025,10.04.2025,INV2504140487,15.04.2025,2025-3 S. 5,"71,24 €",59C3G6LIFPC0BHVH,https://www.amazon.de/dp/B0CPBKQ4RW
Investive Maßnahme,Elektr(on)ik: AA Akkus,0,Rechnung + Kontoauszug,30.12.1899,51,"0,00 €",Amazon,,,,,,,,
Investive Maßnahme,Elektr(on)ik: AAA Akkus,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,52,"7,56 €",Amazon,09.04.2025,10.04.2025,DE51YF39ABEI,11.04.2025,2025-3 S. 5,"102,64 €",4M2M9V6NRQ6DOBMH,https://www.amazon.de/dp/B00HZV9YE0
Investive Maßnahme,Elektr(on)ik: Akku Ladegerät,Conrad Electronic SE,Rechnung + Kontoauszug,09.04.2025,53,"49,38 €",eBay,08.04.2025,08.04.2025,9773115300,09.04.2025,2025-3 S. 1,"49,38 €",1041407309621,https://www.ebay.de/itm/294197110501
Investive Maßnahme,Elektr(on)ik: Punktschweißgerät,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,54,"59,39 €",Amazon,07.04.2025,09.04.2025,DE51XZQZABEI,11.04.2025,2025-3 S. 5,"211,39 €",7F1M4O3ZRA598IHH,https://www.amazon.de/dp/B0DBV3WRT9
